Date,Close
7/22/2021,1.265
7/23/2021,1.286
7/26/2021,1.276
7/27/2021,1.234
7/28/2021,1.261
7/29/2021,1.269
7/30/2021,1.239
8/2/2021,1.174
8/3/2021,1.176
8/4/2021,1.184
8/5/2021,1.217
8/6/2021,1.29
8/9/2021,1.317
8/10/2021,1.342
8/11/2021,1.329
8/12/2021,1.367
8/13/2021,1.297
8/16/2021,1.257
8/17/2021,1.258
8/18/2021,1.273
8/19/2021,1.242
8/20/2021,1.26
8/23/2021,1.255
8/24/2021,1.29
8/25/2021,1.342
8/26/2021,1.342
8/27/2021,1.312
8/30/2021,1.285
8/31/2021,1.304
9/1/2021,1.302
9/2/2021,1.294
9/3/2021,1.322
9/7/2021,1.37
9/8/2021,1.334
9/9/2021,1.299
9/10/2021,1.341
9/13/2021,1.324
9/14/2021,1.277
9/15/2021,1.304
9/16/2021,1.331
9/17/2021,1.37
9/20/2021,1.309
9/21/2021,1.324
9/22/2021,1.336
9/23/2021,1.41
9/24/2021,1.46
9/27/2021,1.484
9/28/2021,1.534
9/29/2021,1.541
9/30/2021,1.529
10/1/2021,1.479
10/4/2021,1.481
10/5/2021,1.529
10/6/2021,1.524
10/7/2021,1.571
10/8/2021,1.605
10/11/2021,1.614
10/12/2021,1.58
10/13/2021,1.549
10/14/2021,1.519
10/15/2021,1.576
10/18/2021,1.584
10/19/2021,1.635
10/20/2021,1.636
10/21/2021,1.676
10/22/2021,1.655
10/25/2021,1.635
10/26/2021,1.619
10/27/2021,1.529
10/28/2021,1.568
10/29/2021,1.557
11/1/2021,1.575
11/2/2021,1.549
11/3/2021,1.579
11/4/2021,1.524
11/5/2021,1.453
11/8/2021,1.497
11/9/2021,1.432
11/10/2021,1.56
11/11/2021,1.56
11/12/2021,1.582
11/15/2021,1.623
11/16/2021,1.634
11/17/2021,1.604
11/18/2021,1.589
11/19/2021,1.536
11/22/2021,1.625
11/23/2021,1.667
11/24/2021,1.645
11/26/2021,1.482
11/29/2021,1.53
11/30/2021,1.443
12/1/2021,1.434
12/2/2021,1.448
12/3/2021,1.343
12/6/2021,1.434
12/7/2021,1.48
12/8/2021,1.509
12/9/2021,1.487
12/10/2021,1.489
12/13/2021,1.424
12/14/2021,1.438
12/15/2021,1.463
12/16/2021,1.422
12/17/2021,1.402
12/20/2021,1.419
12/21/2021,1.487
12/22/2021,1.457
12/23/2021,1.493
12/27/2021,1.481
12/28/2021,1.481
12/29/2021,1.543
