Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years
10/6/2017,0.053797019,0.124789586,0.109245458,0.500937082
10/7/2017,0.054636679,0.124789586,0.109245458,0.500937082
10/8/2017,0.057385479,0.124789586,0.109245458,0.500937082
10/9/2017,0.059804139,0.136236113,0.108262221,0.498527443
10/10/2017,0.059953418,0.146111548,0.108969764,0.494243641
10/11/2017,0.060619541,0.140724947,0.110503379,0.494243641
10/12/2017,0.069908938,0.14914151,0.109370557,0.488353414
10/13/2017,0.072907928,0.15834362,0.110715076,0.476840696
10/14/2017,0.075671555,0.15834362,0.110715076,0.476840696
10/15/2017,0.073371776,0.15834362,0.110715076,0.476840696
10/16/2017,0.074081472,0.156548087,0.112427494,0.484069612
10/17/2017,0.072283572,0.137582763,0.112395519,0.481659973
10/18/2017,0.072061682,0.134103917,0.112448214,0.492637216
10/19/2017,0.073825894,0.141959376,0.110646394,0.487817938
10/20/2017,0.078361518,0.131298395,0.11290262,0.503882195
10/21/2017,0.078663213,0.131298395,0.11290262,0.503882195
10/22/2017,0.078316148,0.131298395,0.11290262,0.503882195
10/23/2017,0.077146793,0.131635058,0.108930255,0.502543507
10/24/2017,0.071102695,0.128605095,0.110021683,0.510575636
10/25/2017,0.074458928,0.129053978,0.106771884,0.520749665
10/26/2017,0.076765148,0.118841881,0.106101967,0.522891566
10/27/2017,0.074909602,0.12131074,0.119696703,0.516465863
10/28/2017,0.074493216,0.12131074,0.119696703,0.516465863
10/29/2017,0.080493602,0.12131074,0.119696703,0.516465863
10/30/2017,0.080144439,0.127595107,0.119480319,0.500937082
10/31/2017,0.085203202,0.119627427,0.122181578,0.502543507
11/1/2017,0.089678637,0.127595107,0.121133426,0.502543507
11/2/2017,0.094337931,0.128492874,0.120983841,0.494779116
11/3/2017,0.096273274,0.119066323,0.125641192,0.493708166
11/4/2017,0.098851397,0.119066323,0.125641192,0.493708166
11/5/2017,0.099262541,0.119066323,0.125641192,0.493708166
11/6/2017,0.09350336,0.133542812,0.127711126,0.487550201
11/7/2017,0.095324318,0.127146224,0.125955431,0.484069612
11/8/2017,0.100045301,0.136011671,0.127963298,0.488888889
11/9/2017,0.095312343,0.140500505,0.124287254,0.490495315
11/10/2017,0.087445189,0.125687353,0.124371005,0.50896921
11/11/2017,0.083544251,0.125687353,0.124371005,0.50896921
11/12/2017,0.0774425,0.125687353,0.124371005,0.50896921
11/13/2017,0.086567053,0.131186174,0.124997646,0.50896921
11/14/2017,0.087708853,0.13589945,0.123141293,0.503882195
11/15/2017,0.097887015,0.130288408,0.120162456,0.491566265
11/16/2017,0.106213975,0.131298395,0.128355637,0.498527443
11/17/2017,0.103777952,0.151947032,0.127367714,0.49665328
11/18/2017,0.104993116,0.151947032,0.127367714,0.49665328
11/19/2017,0.108681449,0.151947032,0.127367714,0.49665328
11/20/2017,0.111139177,0.128156211,0.128112883,0.501472557
11/21/2017,0.109202036,0.135450567,0.134865572,0.499062918
11/22/2017,0.111931375,0.147233756,0.13532471,0.488085676
11/23/2017,0.108715583,0.147233756,0.13532471,0.488085676
11/24/2017,0.111933481,0.141734934,0.137375854,0.492904953
11/25/2017,0.119977154,0.141734934,0.137375854,0.492904953
11/26/2017,0.128056767,0.141734934,0.137375854,0.492904953
11/27/2017,0.135360354,0.149702615,0.136374746,0.489692102
11/28/2017,0.138960497,0.150712602,0.139558665,0.492369478
11/29/2017,0.136412334,0.136572775,0.131281779,0.502543507
11/30/2017,0.141577689,0.12658512,0.135946664,0.51352075
12/1/2017,0.15268729,0.132869487,0.133464591,0.498795181
12/2/2017,0.154169569,0.132869487,0.133464591,0.498795181
12/3/2017,0.157891743,0.132869487,0.133464591,0.498795181
12/4/2017,0.162892561,0.127819549,0.126669589,0.50334672
12/5/2017,0.166777927,0.113567501,0.125431378,0.497188755
12/6/2017,0.202334639,0.114914151,0.126764596,0.490227577
12/7/2017,0.256358434,0.10032544,0.130195037,0.502543507
12/8/2017,0.236440523,0.095163281,0.132758013,0.504417671
12/9/2017,0.215610766,0.095163281,0.132758013,0.504417671
12/10/2017,0.219761148,0.095163281,0.132758013,0.504417671
12/11/2017,0.241941429,0.093479969,0.136051089,0.504953146
12/12/2017,0.249107266,0.087644484,0.134850504,0.509772423
12/13/2017,0.234026937,0.095387723,0.136118807,0.495314592
12/14/2017,0.236359666,0.104814274,0.134305731,0.494511379
12/15/2017,0.253471752,0.105375379,0.141837494,0.496921017
12/16/2017,0.28028003,0.105375379,0.141837494,0.496921017
12/17/2017,0.274940839,0.105375379,0.141837494,0.496921017
12/18/2017,0.274542547,0.114240826,0.147311498,0.506827309
12/19/2017,0.254516816,0.112557513,0.144403273,0.52583668
12/20/2017,0.237266994,0.118617439,0.144131346,0.534939759
12/21/2017,0.224964095,0.119964089,0.144545323,0.530655957
12/22/2017,0.195451773,0.129053978,0.144037258,0.531726908
12/23/2017,0.208438934,0.129053978,0.144037258,0.531726908
12/24/2017,0.196859189,0.129053978,0.144037258,0.531726908
12/25/2017,0.198368415,0.129053978,0.144037258,0.531726908
12/26/2017,0.229409424,0.138817192,0.141806438,0.526907631
12/27/2017,0.22549711,0.142071597,0.142097155,0.512717537
12/28/2017,0.207050979,0.150039277,0.143115215,0.517536814
12/29/2017,0.207795116,0.163730221,0.138714723,0.510307898
12/30/2017,0.182281961,0.163730221,0.138714723,0.510307898
12/31/2017,0.200311859,0.163730221,0.138714723,0.510307898
1/1/2018,0.192837579,0.163730221,0.138714723,0.510307898
1/2/2018,0.212674648,0.172034564,0.148453738,0.526372155
1/3/2018,0.215952136,0.174840085,0.1539701,0.521552878
1/4/2018,0.221914192,0.178431153,0.155134943,0.523159304
1/5/2018,0.249318372,0.17944114,0.160653189,0.529317269
1/6/2018,0.250778192,0.17944114,0.160653189,0.529317269
1/7/2018,0.235066035,0.17944114,0.160653189,0.529317269
1/8/2018,0.215489479,0.177533386,0.162613047,0.53038822
1/9/2018,0.20688479,0.169790147,0.163195445,0.548058902
1/10/2018,0.212542893,0.176186735,0.162253602,0.549129853
1/11/2018,0.189073485,0.179777803,0.167730454,0.544042838
1/12/2018,0.19767968,0.194142072,0.172367131,0.549665328
1/13/2018,0.203363253,0.194142072,0.172367131,0.549665328
1/14/2018,0.19455642,0.194142072,0.172367131,0.549665328
1/15/2018,0.195272103,0.194142072,0.172367131,0.549665328
1/16/2018,0.160396641,0.196386489,0.168851055,0.547523427
1/17/2018,0.155876435,0.199304231,0.175869056,0.556626506
1/18/2018,0.160163076,0.185837729,0.175659242,0.565461847
1/19/2018,0.162146933,0.192458759,0.179453814,0.572423025
1/20/2018,0.181488418,0.192458759,0.179453814,0.572423025
1/21/2018,0.162037622,0.192458759,0.179453814,0.572423025
1/22/2018,0.152025517,0.19133655,0.186195202,0.579919679
1/23/2018,0.151082249,0.196723151,0.191112259,0.568942436
1/24/2018,0.158433751,0.219391763,0.186856666,0.576974565
1/25/2018,0.1569365,0.226686118,0.186489732,0.568139224
1/26/2018,0.155618919,0.214566266,0.195391375,0.579116466
1/27/2018,0.159651013,0.214566266,0.195391375,0.579116466
1/28/2018,0.164825506,0.214566266,0.195391375,0.579116466
1/29/2018,0.157490483,0.196386489,0.19169746,0.589022758
1/30/2018,0.139671691,0.196386489,0.185673033,0.596251673
1/31/2018,0.141390532,0.200426439,0.186519824,0.594645248
2/1/2018,0.12566102,0.206374144,0.184109281,0.608835341
2/2/2018,0.12057351,0.194478734,0.170475036,0.630522088
2/3/2018,0.125726451,0.194478734,0.170475036,0.630522088
2/4/2018,0.11228263,0.194478734,0.170475036,0.630522088
2/5/2018,0.092492869,0.193693188,0.144749487,0.614457831
2/6/2018,0.104451861,0.18594995,0.158707435,0.607496653
2/7/2018,0.102465006,0.169677926,0.152695228,0.627844712
2/8/2018,0.112111645,0.175625631,0.12683801,0.629718876
2/9/2018,0.119169545,0.171361239,0.135995592,0.623828648
2/10/2018,0.117446508,0.171361239,0.135995592,0.623828648
2/11/2018,0.110081079,0.171361239,0.135995592,0.623828648
2/12/2018,0.122008181,0.183817753,0.146107192,0.631325301
2/13/2018,0.117093294,0.188194367,0.149075646,0.626773762
